Ukazatel,Čtvrtletí,Šetření,"ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj",Hodnota,MJ_TEXT,MJ_SYMBOL
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Královéhradecký kraj,47713.4188131439,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Pardubický kraj,47516.5400835801,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Kraj Vysočina,47626.6142357489,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Jihomoravský kraj,51070.8730362516,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Olomoucký kraj,46738.2687814528,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Zlínský kraj,46552.2679766792,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),4. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,Moravskoslezský kraj,46206.4787776124,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,,,47716.6116147333,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,,61365.591947704,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,,47609.7963427693,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,,44178.432631474,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,,43426.6030577783,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,,43404.7658190467,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,,46067.5498281297,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,,42774.8107827148,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),3. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,,43003.1375118048,koruna česká,Kč
