"Ukazatel","IndicatorType","Území","Uz0","Měsíce, roky","CASRMX","Hodnota"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2005","2005-03","1.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2005","2005-04","1.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2005","2005-05","1.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2005","2005-06","1.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2005","2005-07","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2005","2005-08","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2005","2005-09","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2005","2005-10","2.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2005","2005-11","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2005","2005-12","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2006","2006-01","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2006","2006-02","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2006","2006-03","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2006","2006-04","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2006","2006-05","3.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2006","2006-06","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2006","2006-07","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2006","2006-08","3.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2006","2006-09","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2006","2006-10","1.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2006","2006-11","1.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2006","2006-12","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2007","2007-01","1.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2007","2007-02","1.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2007","2007-03","1.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2007","2007-04","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2007","2007-05","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2007","2007-06","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2007","2007-07","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2007","2007-08","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2007","2007-09","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2007","2007-10","4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2007","2007-11","5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2007","2007-12","5.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2008","2008-01","7.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2008","2008-02","7.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2008","2008-03","7.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2008","2008-04","6.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2008","2008-05","6.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2008","2008-06","6.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2008","2008-07","6.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2008","2008-08","6.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2008","2008-09","6.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2008","2008-10","6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2008","2008-11","4.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2008","2008-12","3.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2009","2009-01","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2009","2009-02","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2009","2009-03","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2009","2009-04","1.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2009","2009-05","1.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2009","2009-06","1.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2009","2009-07","0.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2009","2009-08","0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2009","2009-09","0"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2009","2009-10","-0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2009","2009-11","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2009","2009-12","1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2010","2010-01","0.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2010","2010-02","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2010","2010-03","0.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2010","2010-04","1.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2010","2010-05","1.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2010","2010-06","1.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2010","2010-07","1.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2010","2010-08","1.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2010","2010-09","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2010","2010-10","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2010","2010-11","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2010","2010-12","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2011","2011-01","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2011","2011-02","1.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2011","2011-03","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2011","2011-04","1.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2011","2011-05","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2011","2011-06","1.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2011","2011-07","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2011","2011-08","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2011","2011-09","1.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2011","2011-10","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2011","2011-11","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2011","2011-12","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2012","2012-01","3.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2012","2012-02","3.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2012","2012-03","3.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2012","2012-04","3.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2012","2012-05","3.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2012","2012-06","3.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2012","2012-07","3.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2012","2012-08","3.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2012","2012-09","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2012","2012-10","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2012","2012-11","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2012","2012-12","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2013","2013-01","1.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2013","2013-02","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2013","2013-03","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2013","2013-04","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2013","2013-05","1.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2013","2013-06","1.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2013","2013-07","1.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2013","2013-08","1.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2013","2013-09","1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2013","2013-10","0.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2013","2013-11","1.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2013","2013-12","1.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2014","2014-01","0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2014","2014-02","0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2014","2014-03","0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2014","2014-04","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2014","2014-05","0.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2014","2014-06","0"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2014","2014-07","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2014","2014-08","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2014","2014-09","0.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2014","2014-10","0.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2014","2014-11","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2014","2014-12","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2015","2015-01","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2015","2015-02","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2015","2015-03","0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2015","2015-04","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2015","2015-05","0.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2015","2015-06","0.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2015","2015-07","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2015","2015-08","0.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2015","2015-09","0.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2015","2015-10","0.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2015","2015-11","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2015","2015-12","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2016","2016-01","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2016","2016-02","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2016","2016-03","0.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2016","2016-04","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2016","2016-05","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2016","2016-06","0.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2016","2016-07","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2016","2016-08","0.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2016","2016-09","0.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2016","2016-10","0.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2016","2016-11","1.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2016","2016-12","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2017","2017-01","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2017","2017-02","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2017","2017-03","2.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2017","2017-04","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2017","2017-05","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2017","2017-06","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2017","2017-07","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2017","2017-08","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2017","2017-09","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2017","2017-10","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2017","2017-11","2.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2017","2017-12","2.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2018","2018-01","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2018","2018-02","1.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2018","2018-03","1.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2018","2018-04","1.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2018","2018-05","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2018","2018-06","2.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2018","2018-07","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2018","2018-08","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2018","2018-09","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2018","2018-10","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2018","2018-11","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2018","2018-12","2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2019","2019-01","2.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2019","2019-02","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2019","2019-03","3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2019","2019-04","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2019","2019-05","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2019","2019-06","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2019","2019-07","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2019","2019-08","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2019","2019-09","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2019","2019-10","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2019","2019-11","3.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2019","2019-12","3.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2020","2020-01","3.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2020","2020-02","3.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2020","2020-03","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2020","2020-04","3.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2020","2020-05","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2020","2020-06","3.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2020","2020-07","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2020","2020-08","3.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2020","2020-09","3.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2020","2020-10","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2020","2020-11","2.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2020","2020-12","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2021","2021-01","2.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2021","2021-02","2.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2021","2021-03","2.3"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2021","2021-04","3.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2021","2021-05","2.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2021","2021-06","2.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2021","2021-07","3.4"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2021","2021-08","4.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2021","2021-09","4.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2021","2021-10","5.8"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2021","2021-11","6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","prosinec 2021","2021-12","6.6"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","leden 2022","2022-01","9.9"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","únor 2022","2022-02","11.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","březen 2022","2022-03","12.7"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","duben 2022","2022-04","14.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","květen 2022","2022-05","16"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červen 2022","2022-06","17.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","červenec 2022","2022-07","17.5"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","srpen 2022","2022-08","17.2"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","září 2022","2022-09","18"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","říjen 2022","2022-10","15.1"
"Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku","6134J05","Česko","CZ","listopad 2022","2022-11","16.2"
