"Ukazatel","IndicatorType","Území","Uz0","Měsíce, roky","CASRMX","Hodnota"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2011","2011-04","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2011","2011-05","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2011","2011-06","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2011","2011-07","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2011","2011-08","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2011","2011-09","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2011","2011-10","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2011","2011-11","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2011","2011-12","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2011","2011","1.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2012","2012-01","2.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2012","2012-02","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2012","2012-03","2.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2012","2012-04","2.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2012","2012-05","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2012","2012-06","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2012","2012-07","2.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2012","2012-08","3.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2012","2012-09","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2012","2012-10","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2012","2012-11","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2012","2012-12","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2012","2012","3.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2013","2013-01","3.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2013","2013-02","3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2013","2013-03","2.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2013","2013-04","2.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2013","2013-05","2.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2013","2013-06","2.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2013","2013-07","2.2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2013","2013-08","2"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2013","2013-09","1.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2013","2013-10","1.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2013","2013-11","1.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2013","2013-12","1.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2013","2013","1.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2014","2014-01","1.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2014","2014-02","1.1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2014","2014-03","1"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2014","2014-04","0.9"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2014","2014-05","0.8"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2014","2014-06","0.7"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2014","2014-07","0.6"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2014","2014-08","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2014","2014-09","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2014","2014-10","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2014","2014-11","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2014","2014-12","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2014","2014","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2015","2015-01","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","únor 2015","2015-02","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","březen 2015","2015-03","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","duben 2015","2015-04","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","květen 2015","2015-05","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červen 2015","2015-06","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","červenec 2015","2015-07","0.5"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","srpen 2015","2015-08","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","září 2015","2015-09","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","říjen 2015","2015-10","0.4"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","listopad 2015","2015-11","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","prosinec 2015","2015-12","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","2015","2015","0.3"
"Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční","6134J09","Česko","CZ","leden 2016","2016-01","0.4"
