"Ukazatel","Čtvrtletí","Šetření","ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Morava","","107.8681076535","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","420.8855634144","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","-0.8093642274","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","99.8080687781","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","45012.9006749572","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","4018.224756262","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","109.8018210078","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","441.8482149524","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","-1.5450219504","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","99.6515458916","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","42877.3488731593","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","3888.8270454691","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Moravskoslezsko","","109.9742869521","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","781.0539036446","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","10.6390262212","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","101.3809476599","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","67945.354309043","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","5150.5646697","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","108.2022166159","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","832.5347402013","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","9.053855053","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","101.099461471","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","63743.8675589209","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","4995.6427545184","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Praha","Hlavní město Praha","108.5034786517","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","431.015998894","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","3.4446596073","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","100.8056338886","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","49145.1082122793","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","3404.1087813839","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","107.4421390519","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","451.4743174987","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","3.0716455818","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","100.6850194645","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","46918.1237688745","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","3302.1026970595","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Střední Čechy","Středočeský kraj","107.5708480873","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","223.2594856055","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","0.2054419656","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","100.0921041207","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","45070.5311535679","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","3543.7821759067","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","108.5337337094","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","234.6245328652","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","-0.0566349282","",""
"Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","99.9758672889","",""
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","42887.3463419759","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","3418.01283822","",""
"Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Jihočeský kraj","108.6599203351","procento","%"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","228.8306034265","tisíc osob","tis. osob (tis. os.)"
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","0.5368270897","",""
"Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","100.2351474921","procento","%"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","47076.015128763","koruna česká","Kč"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","3804.7537832685","",""
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","108.7927961075","procento","%"
"Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob)","1. čtvrtletí 2026","Pracovištní metoda","Česko","Jihozápad","Plzeňský kraj","240.8832156762","tisíc osob","tis. osob (tis. os.)"
